Št. postavke,Številka naročila,Skladnost z direktivo RoHS?,Opombe,Količina,Proizvajalčeva številka dela,Proizvajalec / opis,Razpolozljivost,Cena na enoto,Cena postavke,Cena s popustom
24,2346951,YES,,10.0,"C3216X5R1H106K160AB","Product Range:C Series; Capacitance:10µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X5R; Voltage Rating:50V; Ceramic Capacitor Case:1206 [3216 Metric]; Operating Temperature",Out of Stock,1.2400,12.40,,
25,1759123,YES,,10.0,"MC0603F104Z500CT","Product Range:MC Series; Capacitance:0.1µF; Capacitance Tolerance:+80%, -20%; Dielectric Characteristic:Y5V; Voltage Rating:50V; Ceramic Capacitor Case:0603 [1608 Metric]; Operating Temperatu",810789,0.0207,0.21,,
26,9406140,YES,,100.0,"MCB0603R104KCT","Product Range:MCB Series; Capacitance:0.1µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:16V; Ceramic Capacitor Case:0603 [1608 Metric]; Operating Temperat",584793,0.0418,4.18,,
27,9406107,YES,,20.0,"MCU0603C220JCT","Product Range:MCU Series; Capacitance:22pF; Capacitance Tolerance:± 5%; Dielectric Characteristic:C0G / NP0; Voltage Rating:50V; Ceramic Capacitor Case:0603 [1608 Metric]; Operating T",52177,0.0290,0.58,,
28,2524882,YES,,20.0,"0603N200J500CT","Product Range:-; Capacitance:20pF; Capacitance Tolerance:± 5%; Dielectric Characteristic:C0G / NP0; Voltage Rating:50V; Ceramic Capacitor Case:0603 [1608 Metric]; Operating Temperatur",Čakanje na dostavo,0.0110,0.22,,
29,1611813,YES,,5.0,"ABM3B-16.000MHZ-B2-T","Product Range:ABM3B Series; Frequency Nom:16MHz; Frequency Stability + / -:50ppm; Frequency Tolerance + / -:20ppm; Crystal Case:SMD, 5mm x 3.2mm; Load Capacitance:18pF; Operating Tempera",1162,0.8390,4.20,,
30,2435309,YES,,5.0,"KSEK43J LFS","SVHC:No SVHC (17-Dec-2015); Illumination:Non Illuminated; Operating Force:2.25N; Contact Voltage DC Nom:32V; Contact Current Max:50mA; Switch Terminals:SMD; Product Range:-",3437,0.2500,1.25,,
31,2289059,YES,,5.0,"XAL4040-103MEC","Product Range:AEC-Q200 XAL40xx Series; Inductance:10µH; Inductance Tolerance:± 20%; Inductor Construction:Shielded; DC Res; Available until stocks are exhausted Alternative available",314 na voljo do odprodaje zalog,5.2700,26.35,,

,,,,,,,Vmesna vsota,139.04
,,,,,,,Vsota za blago,139.04
,,,,,,,Osnovna dostava,0.00
,,,,,,,DDV,Unknown
,,,,,,,Skupaj,139.04
